shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
A0,-34.6306594075,-58.46940206359999,123
A0,-34.6311090843,-58.4711453319,124
A1,-34.6311090843,-58.4711453319,1
A1,-34.6306594075,-58.46940206359999,2
A1,-34.6302017279,-58.4677136969,3
A1,-34.629761701999996,-58.4659073129,4
A1,-34.6296717653,-58.465497102600004,5
A1,-34.629119177199996,-58.4637309518,6
A1,-34.628966476799995,-58.4632180212,7
A1,-34.6285930701,-58.4617073089,8
A1,-34.628413746,-58.4611026384,9
A1,-34.62819028,-58.460455052600004,10
A1,-34.6279226719,-58.4597270004,11
A1,-34.6275667793,-58.4588809311,12
A1,-34.6271253599,-58.4578201175,13
A1,-34.6266927667,-58.456751257200004,14
A1,-34.6256510024,-58.4540945292,15
A1,-34.624105988800004,-58.4500980377,16
A1,-34.6223667105,-58.445688486099996,17
A1,-34.6219694084,-58.4447604418,18
A1,-34.6214396692,-58.4437251091,19
A1,-34.621130653099996,-58.442893624300005,20
A1,-34.6205435193,-58.441482782399994,21
A1,-34.6197709686,-58.439766168599995,22
A1,-34.6190469717,-58.4381246567,23
A1,-34.618808580999996,-58.4376364946,24
A1,-34.6183273831,-58.4364402294,25
A1,-34.6175857147,-58.434895276999995,26
A1,-34.6174179555,-58.434498310100004,27
A1,-34.6172060486,-58.433951139499996,28
A1,-34.6169058462,-58.4332591295,29
A1,-34.616762366799996,-58.4329238534,30
A1,-34.616651997800005,-58.4326770902,31
A1,-34.6164312594,-58.4322398901,32
A1,-34.6161376764,-58.4316310287,33
A1,-34.6158562331,-58.43100205060001,34
A1,-34.6156928852,-58.4305970371,35
A1,-34.6155792037,-58.430328816199996,36
A1,-34.6154544849,-58.4300324321,37
A1,-34.6153330771,-58.4297628701,38
A1,-34.6151035055,-58.429247885900004,39
A1,-34.6149313264,-58.4288562834,40
A1,-34.6146752645,-58.428278267399996,41
A1,-34.6144158907,-58.4276868403,42
A1,-34.6142955851,-58.4274172783,43
A1,-34.6141465825,-58.4270806611,44
A1,-34.6139898536,-58.4267252684,45
A1,-34.613873962199996,-58.426466435200005,46
A1,-34.613773523,-58.4262424707,47
A1,-34.61366315,-58.4259916842,48
A1,-34.6135119389,-58.4256483614,49
A1,-34.6133805946,-58.425343930699995,50
A1,-34.6132514576,-58.42504486439999,51
A1,-34.6131289429,-58.4247578681,52
A1,-34.6130196728,-58.4244936705,53
A1,-34.6129004689,-58.4242120385,54
A1,-34.6127194553,-58.423785567299994,55
A1,-34.6125825911,-58.4234704077,56
A1,-34.6123993693,-58.4230841696,57
A1,-34.6122994801,-58.4228776395,58
A1,-34.6122034539,-58.4226737916,59
A1,-34.6120798339,-58.4224169701,60
A1,-34.6120246463,-58.4222996235,61
A1,-34.6119495911,-58.4221353382,62
A1,-34.611896611,-58.4220179915,63
A1,-34.6118276263,-58.4218664467,64
A1,-34.611756985999996,-58.4217142314,65
A1,-34.6116769637,-58.421539887799995,66
A1,-34.6115919744,-58.4213548154,67
A1,-34.6115235414,-58.42120528220001,68
A1,-34.6114672496,-58.421038985299994,69
A1,-34.6114468301,-58.4209772944,70
A1,-34.6114076466,-58.4208619595,71
A1,-34.6113496992,-58.4206916392,72
A1,-34.6113303834,-58.4206111729,73
A1,-34.6112740915,-58.420359045299996,74
A1,-34.611226077800005,-58.4201525152,75
A1,-34.611183031100005,-58.419958725600004,76
A1,-34.6111532295,-58.4198340029,77
A1,-34.6111267391,-58.4197186679,78
A1,-34.6111008007,-58.419390097299996,79
A1,-34.6110765179,-58.4191010892,80
A1,-34.6110555463,-58.4188429266,81
A1,-34.6110279522,-58.41849759220001,82
